2021년 08월 11일 13시 43분 | 서버: Novoline | 채널: chat-en | 유저: HackerMan#0001 | 메시지: I want chinese language for novoline gui 
2021년 08월 11일 13시 43분 | 서버: Novoline | 채널: chat-en | 유저: XLittleLeft#7638 | 메시지: https://youtu.be/Xi9fW2ioJHM 
2021년 08월 11일 13시 43분 | 서버: Novoline | 채널: chat-en | 유저: XLittleLeft#7638 | 메시지: it 
2021년 08월 11일 13시 43분 | 서버: Novoline | 채널: chat-en | 유저: XLittleLeft#7638 | 메시지: .cfg download XLittleLeftCN 
2021년 08월 11일 14시 06분 | 서버: Novoline | 채널: chat-en | 유저: Crypto#0785 | 메시지: whats the best config for skyblock on diff servers 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: why. 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: Why would you want to cheat on fucking skyblock 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: But like 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: Chrisisdaguy#8837 | 메시지: what is best uhc config 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: On different servers 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: Oh 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: ok 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: on different servers 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: shidder (egirl)#1706 | 메시지: 🙏 
2021년 08월 11일 14시 07분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: yes 
2021년 08월 11일 14시 08분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: xlittleleftuhc 
2021년 08월 11일 14시 08분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: 🙏 
2021년 08월 11일 14시 12분 | 서버: Novoline | 채널: chat-en | 유저: t-#1206 | 메시지: monkey is such a hottie 
2021년 08월 11일 14시 14분 | 서버: Novoline | 채널: chat-en | 유저: mοnkey#3202 | 메시지: 😩 
2021년 08월 11일 14시 16분 | 서버: Novoline | 채널: chat-en | 유저: Crypto#0785 | 메시지: fuck wasnt paying attention skywars* 
2021년 08월 11일 14시 20분 | 서버: Novoline | 채널: chat-en | 유저: t-#1206 | 메시지: monkey put ur configs in <#874584513240530955> 
2021년 08월 11일 14시 25분 | 서버: Novoline | 채널: chat-en | 유저: XLittleLeft#7638 | 메시지: What is <@!527909459864059966> doing? 
2021년 08월 11일 14시 27분 | 서버: Novoline | 채널: chat-en | 유저: NoMeansNo#6969 | 메시지: why can server boosters do @everyone 
2021년 08월 11일 14시 27분 | 서버: Novoline | 채널: chat-en | 유저: t-#1206 | 메시지: i shitted in my pants (oooh)

I am for real

never meant to make my booty shit 
2021년 08월 11일 14시 27분 | 서버: Novoline | 채널: chat-en | 유저: t-#1206 | 메시지: i think its beta that can do it lolz 
2021년 08월 11일 14시 28분 | 서버: Novoline | 채널: chat-en | 유저: NoMeansNo#6969 | 메시지: oh ok 
