2021년 08월 10일 19시 00분 | 서버: Novoline | 채널: nsfw | 유저: fetix-chan#0001 | 메시지: sex 
2021년 08월 10일 19시 02분 | 서버: Novoline | 채널: nsfw | 유저: novo noob 111000#2531 | 메시지: 呃呃 
2021년 08월 10일 19시 03분 | 서버: Novoline | 채널: nsfw | 유저: novo noob 111000#2531 | 메시지: 看不见😅 
2021년 08월 10일 19시 04분 | 서버: Novoline | 채널: nsfw | 유저: Cysecor#0001 | 메시지: balls 
2021년 08월 10일 19시 04분 | 서버: Novoline | 채널: nsfw | 유저: luigi. - 856 // 76#8868 | 메시지: ballz 
2021년 08월 10일 19시 07분 | 서버: Novoline | 채널: nsfw | 유저: a cat#0002 | 메시지: balls 
2021년 08월 10일 19시 10분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: <@!390602638938603531> omg 
2021년 08월 10일 19시 10분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: im a huge fan 
2021년 08월 10일 19시 15분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: I'm bigger fan 
2021년 08월 10일 19시 15분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: no 
2021년 08월 10일 19시 15분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: im your biggest fan 
2021년 08월 10일 19시 15분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Oh ok 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: nardupe#6519 | 메시지: hi akatsuki 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: nardupe#6519 | 메시지: its nardupe 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Yoo 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: nardupe#6519 | 메시지: Yoo 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: 😎 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: Kizyde#1234 | 메시지: <:catjpgflushed:802326482109464596> 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Please **NO** nsfw 
2021년 08월 10일 19시 16분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: sorry for inactivity btw 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: gonna bot a mfa in a few days 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: It is ok 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: I'm gonna bot an acc too 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: then ill be active again 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Just need to buy more alts 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Jombi#4370 | 메시지: E 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Then I can boat 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: ⛵ 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: akatsukimonkey#0001 | 메시지: Pov staff demoted moment 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: XD 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: LowDelta#9786 | 메시지: stick balls 
2021년 08월 10일 19시 17분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: mvp cow 
2021년 08월 10일 19시 18분 | 서버: Novoline | 채널: nsfw | 유저: Sailor#9990 | 메시지: <:trole:835502690430877697> 
2021년 08월 10일 19시 30분 | 서버: Novoline | 채널: nsfw | 유저: 6264#3640 | 메시지:  
2021년 08월 10일 19시 30분 | 서버: Novoline | 채널: nsfw | 유저: 6264#3640 | 메시지:  
2021년 08월 10일 19시 30분 | 서버: Novoline | 채널: nsfw | 유저: 6264#3640 | 메시지:  
2021년 08월 10일 19시 30분 | 서버: Novoline | 채널: nsfw | 유저: 6264#3640 | 메시지:  
